"Hospital name","Phone number","Street address","Suburb","Postcode","State","Local Hospital Network (LHN)","Primary Health Network area (PHN)","Website","Description","Sector","Beds","Latitude","Longitude"
"Calvary Health Care Bethlehem","03 9596 2853","152 Como Parade West","Parkdale","3195","Vic","Calvary Health Care Bethlehem Limited","South Eastern Melbourne","www.bethlehem.org.au/","Metropolitan hospital","Public","<50","-37.896962000000002","145.01341500000001"
"Calvary Health Care Riverina","02 6925 3055","Hardy Avenue","Wagga Wagga","2650","NSW","","","www.calvary-wagga.com.au","","Private","50-99","-35.118701999999999","147.352811"
"Calvary Health Care Tasmania - Lenah Valley Campus","03 6278 5333","49 Augusta Road","Lenah Valley","7008","Tas","","","www.calvarylenahvalley.org.au","","Private","100-199","-42.866098999999998","147.30361400000001"
"Calvary Health Care Tasmania - St John's Campus","03 6323 7444","30 Cascade Road","South Hobart","7004","Tas","","","www.calvarystjohns.org.au","","Private","50-99","-42.895313999999999","147.30597499999999"
"Calvary Health Care Tasmania - St Luke's Campus","03 6335 3333","24 Lyttleton Street","Launceston","7250","Tas","","","www.calvarystlukes.org.au","","Private","50-99","-41.433895","147.14952099999999"
"Calvary Health Care Tasmania - St Vincent's Campus","03 6332 4999","5 Frederick Street","Launceston","7250","Tas","","","www.calvarystvincents.org.au","","Private","50-99","-41.441012999999998","147.14130800000001"
"Calvary Hospital","02 9553 3111","91-101 Rocky Point Road","Kogarah","2217","NSW","South Eastern Sydney","Central and Eastern Sydney","www.seslhd.health.nsw.gov.au/Calvary_Hospital/default.asp","Specialist rehabilitation hospital","Public","100-199","-33.976132","151.13620599999999"
"Calvary John James Hospital","02 6281 8100","173 Strickland Crescent","Deakin","2600","ACT","","","www.calvaryjohnjames.com.au","","Private","100-199","-35.319868999999997","149.095662"
"Calvary Mater Newcastle Hospital","02 4921 1211","20 Edith Street","Waratah","2298","NSW","Hunter New England","Hunter New England and Central Coast","www.calvarymater.org.au/","Large metropolitan hospital with an emergency department","Public","100-199","-32.899371000000002","151.72085799999999"
"Calvary North Adelaide Hospital","08 8239 9100","89 Strangways Terrace","Nth Adelaide","5006","SA","","","www.calvarynorthadelaide.org.au","","Private","100-199","-34.910003000000003","138.58909499999999"
"Calvary Private Hospital Bruce","02 6201 6363","Corner of Belconnen Way and Haydon Drive","Bruce","2617","ACT","","","www.calvaryactprivate.org.au/visitors.html","","Private","50-99","-35.252882","149.08864600000001"
"Calvary Public Hospital","02 6201 6111","Haydon Drive","Bruce","2617","ACT","Australian Capital Territory","Australian Capital Territory","www.calvary-act.com.au","Large metropolitan hospital with an emergency department","Public","200-500","-35.253321","149.089654"
"Calvary Rehabilitation Hospital","08 8168 5700","18 North East Road","Walkerville","5081","SA","","","www.calvaryrehabsa.org.au","","Private","50-99","-34.891739000000001","138.611481"
"Calvary Wakefield Hospital","08 8405 3333","300 Wakefield Street","Adelaide","5000","SA","","","www.calvarywakefield.org.au","","Private","100-199","-34.927689000000001","138.611154"
"Camden Hospital","02 4634 3000","65 Menangle Road","Camden","2570","NSW","South Western Sydney","South Western Sydney","https://www.swslhd.health.nsw.gov.au/ccq/","Metropolitan hospital with an emergency department","Public","50-99","-34.062702000000002","150.693297"
"Campbell Town Multi Purpose Service","03 6774 8000","70 High Street","Campbell Town","7210","Tas","Tasmanian Health Service","Tasmania","www.dhhs.tas.gov.au/service_information/service_delivery_points/campbell_town_health_and_community_service","Regional hospital","Public","<50","-41.926338999999999","147.49310700000001"
"Campbelltown Hospital","02 4634 3000","Therry Road","Campbelltown","2560","NSW","South Western Sydney","South Western Sydney","https://www.swslhd.health.nsw.gov.au/ccq/","Large metropolitan hospital with an emergency department","Public","200-500","-34.077651000000003","150.806321"
"Campbelltown Private Hospital","02 4621 9111","42 Parkside Crescent (Corner of Hyde Street)","Campbelltown","2560","NSW","","","www.campbelltownprivatehospital.com.au","","Private","50-99","-34.075606999999998","150.804948"
"Canberra Imaging Group Angiography/Interventional Suite","02 6203 2092","173 Strickland Cresent","Deakin","2600","ACT","","","www.canberraimaging.com.au","","Private","<50","-35.318556999999998","149.09600399999999"
"Canossa Private Hospital","07 3717 5555","169 Seventeen Mile Rocks Road","Oxley","4075","Qld","","","http://www.canossa.org.au/","","Private","50-99","-27.554703","152.96371600000001"
"Canowindra Hospital","02 6364 4300","Browns Avenue","Canowindra","2804","NSW","Western NSW","Western NSW","","Regional hospital with an emergency department","Public","<50","-33.557203999999999","148.67657600000001"
"Canterbury Hospital","02 9787 0000","575 Canterbury Road","Campsie","2194","NSW","Sydney","Central and Eastern Sydney","www.sswahs.nsw.gov.au/Canterbury/","Medium metropolitan hospital with an emergency department","Public","100-199","-33.919592000000002","151.098275"
"Capricorn Coast Hospital","07 4913 3000","8 Hoskyn Drive","Yeppoon","4703","Qld","Central Queensland","Central Queensland, Wide Bay and Sunshine Coast","www.health.qld.gov.au/services/central-queensland/cap-coast.asp","Small hospital","Public","<50","-23.143888","150.73451900000001"
"Caritas Christi Hospice [Kew]","03 9231 5000","104 Studley Park Road","Kew","3101","Vic","St Vincent's Hospital (Melbourne) Limited","Eastern Melbourne","www.svhm.org.au/home/patients-and-visitors/campus-information/caritas-christi-campus","Metropolitan hospital","Public","<50","-37.804706000000003","145.015557"
"Carnarvon Hospital","08 9941 0555","Cleaver Street","Carnarvon","6701","WA","WA Country Health Service","Country WA","www.health.wa.gov.au/services/detail.cfm?Unit_ID=32","Small hospital","Public","<50","-24.886592","113.658993"
"Casey Hospital","03 8768 1200","52 Kangan Drive","Berwick","3806","Vic","Monash Health","South Eastern Melbourne","","Medium metropolitan hospital with an emergency department","Public","200-500","-38.045324999999998","145.34718100000001"
"Casino Hospital","02 6662 2111","Hotham Street","Casino","2470","NSW","Northern NSW","North Coast","","Small hospital with an emergency department","Public","<50","-28.859839000000001","153.03582700000001"
"Casterton Memorial Hospital","03 5554 2555","63-69 Russell Street","Casterton","3311","Vic","Casterton Memorial Hospital","Western Victoria","http://www.swarh2.com.au/cmh","Regional hospital","Public","<50","-37.589989000000003","141.39228299999999"
"Castle Hill Day Surgery","02 8850 0500","72-74 Cecil Avenue","Castle Hill","2154","NSW","","","www.chds.com.au","","Private","<50","-33.73507","151.004099"
"Castlecrag Private Hospital","02 9935 0200","150 Edinburgh Road","Castlecrag","2068","NSW","","","www.castlecragprivate.com.au/","","Private","<50","-33.801822000000001","151.21704500000001"
"Castlemaine Health","03 5471 3555","142 Cornish Street","Castlemaine","3450","Vic","Castlemaine Health","Murray","www.castlemainehealth.org.au","Small hospital","Public","<50","-37.052539000000003","144.21231499999999"
"Caulfield Hospital","03 9076 6000","260-294 Kooyong Road","Caulfield","3162","Vic","Alfred Health (Vic)","South Eastern Melbourne","https://www.alfredhealth.org.au/caulfield/","Metropolitan hospital","Public","200-500","-37.882707000000003","145.01689200000001"
"Ceduna District Health Service","08 8626 2110","3 Eyre Highway","Ceduna","5690","SA","Country Health SA","Country SA","www.sahealth.sa.gov.au/cedunahospital","Small hospital","Public","<50","-32.119098999999999","133.67231699999999"
"Central Coast Day Hospital","02 4367 3880","Suite 1, Fountain Corporate, 2 Ilya Avenue","Erina","2250","NSW","","","","","Private","<50","-33.439692000000001","151.384354"
"Central Gippsland Health Service [Maffra]","03 5147 0100","48 Kent Street","Maffra","3860","Vic","Central Gippsland Health Service","Gippsland","www.gha.net.au","Regional hospital","Public","<50","-37.961032000000003","146.983487"
"Central Gippsland Health Service [Sale]","03 5143 8600","155 Guthridge Parade","Sale","3850","Vic","Central Gippsland Health Service","Gippsland","www.gha.net.au","Large regional hospital with an emergency department","Public","50-99","-38.108407999999997","147.080637"
"Central Yorke Peninsula Hospital (Maitland)","08 8862 2626","65 Robert Street","Maitland","5573","SA","Country Health SA","Country SA","www.sahealth.sa.gov.au/maitlandhospital","Regional hospital","Public","<50","-34.370494000000001","137.673947"
"Centre for Digestive Diseases","02 9713 4011","Level 1, 229 Great North Road","Five Dock","2046","NSW","","","www.cdd.com.au","","Private","","-33.865116999999998","151.13009199999999"
"Cessnock Hospital","02 4991 0555","24 View Street","Cessnock","2325","NSW","Hunter New England","Hunter New England and Central Coast","","Small hospital with an emergency department","Public","<50","-32.827753999999999","151.34839600000001"
"Charleville Hospital","07 4650 5000","72 King Street","Charleville","4470","Qld","South West (Qld)","Western Queensland","www.health.qld.gov.au/services/southwest/swest_cville_hosp.asp","Small hospital","Public","<50","-26.410454999999999","146.239228"
"Charters Towers Hospital","07 4787 0333","137-139 Gill Street","Charters Towers","4820","Qld","Townsville","Northern Queensland","www.health.qld.gov.au/services/townsville/tville_ctowers_hc.asp","Regional hospital","Public","<50","-20.076167000000002","146.26409699999999"
"Charters Towers Rehabilitation Unit","07 4787 5200","35 Gladstone Road","Charters Towers","4820","Qld","Townsville","Northern Queensland","www.health.qld.gov.au/services/townsville/tville_ctowers_rc.asp","Specialist psychiatric hospital","Public","<50","-20.076801","146.28045900000001"
"Chatswood Private Hospital","02 9413 4822","Suite 1, 38B Albert Avenue","Chatswood","2067","NSW","","","http://www.cphospital.com.au","","Private","<50","-33.797612000000001","151.18569099999999"
"Cherbourg Hospital","07 4169 8800","Fisher Street","Cherbourg","4605","Qld","Darling Downs","Darling Downs and West Moreton","www.health.qld.gov.au/services/darlingdowns/ddowns-cherbourg-hs.asp","Small hospital","Public","<50","-26.291519000000001","151.956324"
"Chermside Day Hospital","07 3120 3444","1/956 Gympie Road","Chermside","4032","Qld","","","http://www.curagroup.com.au/chermside-day-hospital","","Private","<50","-27.381971","153.02942300000001"
"Chesterville Day Hospital","03 9585 3777","28 Chesterville Road","Cheltenham","3192","Vic","","","http://www.curagroup.com.au/chesterville-day-hospital","","Private","<50","-37.960459999999998","145.05680000000001"
"Childers Hospital","07 4192 1133","44 Broadhurst Street","Childers","4660","Qld","Wide Bay","Central Queensland, Wide Bay and Sunshine Coast","www.health.qld.gov.au/services/widebay/wb-childers.asp","Regional hospital","Public","<50","-25.239415999999999","152.27328600000001"
"Chinchilla Hospital","07 4662 8888","Slessar Street","Chinchilla","4413","Qld","Darling Downs","Darling Downs and West Moreton","www.health.qld.gov.au/services/darlingdowns/ddowns-chinchilla-hs.asp","Small hospital","Public","<50","-26.741337000000001","150.634939"
"Chris O’Brien Lifehouse","02 2851 4000","119-143 Missenden Road","Camperdown","2050","NSW","","Central and Eastern Sydney","www.mylifehouse.org.au","","Private","100-199","-33.890577","151.18223399999999"
"Clare Hospital","08 8842 6500","47 Farrell Flat Road","Clare","5453","SA","Country Health SA","Country SA","www.sahealth.sa.gov.au/clarehospital","Small hospital","Public","<50","-33.829588000000001","138.61441600000001"
"Clermont Hospital","07 4983 4000","Francis Street","Clermont","4721","Qld","Mackay","Northern Queensland","www.health.qld.gov.au/services/mackay/clerm_mphs.asp","Regional hospital","Public","<50","-22.826218999999998","147.63217399999999"
"Cleve District Hospital and Aged Care","08 8628 2665","North Terrace","Cleve","5640","SA","Country Health SA","Country SA","www.sahealth.sa.gov.au/clevehospital","Regional hospital","Public","<50","-33.697778999999997","136.49416199999999"
"Cloncurry Hospital","07 4742 4500","1 Musgrave Street","Cloncurry","4824","Qld","North West (Qld)","Western Queensland","www.health.qld.gov.au/services/northwest/nwest_clonc_hosp.asp","Regional hospital","Public","<50","-20.704166000000001","140.52757099999999"
"Cobar Health Service","02 6830 2111","Lerida Road","Cobar","2835","NSW","Western NSW","Western NSW","","Regional hospital with an emergency department","Public","<50","-31.509025999999999","145.825266"
"Cobram District Hospital","03 5871 0777","24-32 Broadway Street","Cobram","3644","Vic","Cobram District Hospital","Murray","","Regional hospital","Public","<50","-35.916272999999997","145.65102899999999"
"Coffs Day Hospital","02 6600 1000","69 Albany Street","Coffs Harbour","2450","NSW","","","www.coffsdayhospital.com.au","","Private","<50","-30.300232999999999","153.11586500000001"
"Coffs Harbour Hospital","02 6656 7000","345 Pacific Highway","Coffs Harbour","2450","NSW","Mid North Coast","North Coast","","Large regional hospital with an emergency department","Public","200-500","-30.317578999999999","153.09366700000001"
"Cohuna District Hospital","03 5456 5300","144-158 King George Street","Cohuna","3568","Vic","Cohuna District Hospital","Murray","","Small hospital","Public","<50","-35.800063000000002","144.214911"
"Colac Area Health","03 5232 5100","2-28 Connor Street","Colac","3250","Vic","Colac Area Health","Western Victoria","www.colacareahealth.com.au","Small hospital","Public","<50","-38.341200999999998","143.582854"
"Coledale Hospital","02 4267 0111","636 Lawrence Hargrave Drive","Coledale","2515","NSW","Illawarra Shoalhaven","South Eastern NSW","www.islhd.health.nsw.gov.au/Coledale_Hospital/default.asp","Metropolitan hospital","Public","<50","-34.283797","150.950796"
